titre,auteurs,description,isbn
Les colonnes du temps - tome 1 - genèse,John Renmann,"Automne 2003. Notre planète est agressée par une sphère lumineuse qui dévore lentement sa surface. Seuls ses pôles semblent épargnés par l'avidité du monstre qui, en peu de temps, finit par effacer l’Europe et l'ouest asiatique. Tandis que la population mondiale se terre dans des grottes ou colonise l'Alaska, les nations s'organisent et bâtissent une immense base souterraine, en Sibérie. Celle-ci devient le refuge de scientifiques réunis dans une course contre l’annihilation totale de notre monde. Parmi eux, Patrick Schimmer, jeune géologue français qui, sans le savoir, jouera un rôle important dans le devenir de l'humanité. Ceci est son histoire... Ce qu'en disent les lecteurs: ""Dès le départ on est dans le feu de l'action, les personnages sont captivants, le décor est bien planté. On ne s'ennuie pas, pour moi c'est le principal. Bon livre."" ""Lisez-le ! Même si vous n'êtes pas amateur habituel de science-fiction comme moi. J'ai été englouti par cette histoire qui vous plonge dans un futur peut-être pas si lointain quand on voit ce qu'on fait à notre planète"" Version révisée d'octobre 2015. "" Les colonnes du temps - Genèse"" est le conseil de lecture du site www.monBestSeller.com, sélectionné pour le Prix Concours de l'auteur indépendant 2015.",9791026201496
"Destination : vide (le programme conscience, tome 1)",Frank Herbert,"collection dirigée par gérard klein Ils sont quatre à bord du Terra, nef de deux kilomètres de long qui va sortir du système solaire. Leur mission officielle : atteindre Tau Ceti. Mais ils savent que c'est une duperie : il n'y a pas de planète habitable autour de l'étoile. Leur véritable mission : créer une Intelligence Artificielle. Loin de la Terre car la première tentative aboutie s'est soldée par un cataclysme. S'ils échouent, ils mourront. Et s'ils réussissent... Par l'auteur de Dune, l'un des romans les plus pertinents sur l'Intelligence Artificielle. Et le premier volet du Programme Conscience.",9782253196693
"La trilogie de béton (crash!, l'île de béton, i.g.h.)",J.G. Ballard,"Dans Crash!, le narrateur développe une obsession sexuelle pour la tôle froissée, pour les accidents de voiture qui modifient, à coups de poignards de chrome, l'intimité du corps humain. Dans L'île de béton, une sortie de route isole le héros en contrebas d'une autoroute. Le voici moderne Robinson Crusoé sur un îlot surplombé d'un échangeur, là où personne ne s'arrête. Enfin, I.G.H. dépeint une nouvelle forme de guerre : dans une tour de quarante étages, la population se scinde en clans. Ses comportements violents deviennent dignes de notre préhistoire. La trilogie de béton rassemble trois chefs-d'œuvre de la littérature contemporaine. J. G. Ballard y invente une nouvelle forme de science-fiction. Il nous met en garde contre les nouveaux fétiches de nos sociétés technophiles aux couleurs criardes.",9782072526213
Les navigateurs de l'infini,J.-H. Rosny Aîné,"« Le père fondateur de la science-fiction française et mondiale. » Serge Lehman L'oeuvre spéculative de J.-H. Rosny aîné a séduit toutes les générations. Il a su concilier à merveille science et littérature. Son roman le plus célèbre, La Guerre du feu, a été porté à l'écran par Jean-Jacques Annaud. Entre 1887 et 1939, Rosny a écrit plusieurs dizaines de romans et nouvelles appartenant à un vaste cycle dont l'action commence au paléolithique et s'achève cent mille ans dans l'avenir. Une histoire totale de l'être humain depuis la préhistoire jusqu'à son extinction - ou plutôt son remplacement. La première histoire du futur. « On ne peut que rester sans voix devant l'ampleur de cette fresque. » Serge Lehman Au terme d'un long voyage, une mission d'exploration terrestre débarque sur Mars. Là, les Terriens vont découvrir l'existence des Tripèdes, des êtres humanoïdes dotés de trois jambes et six yeux et irradiant une beauté surnaturelle. Malheureusement, il s'agit des derniers représentants d'une espèce très ancienne et très évoluée, qui se voit laisser peu à peu sa place à une autre forme de vie, celle des Zoomorphes. Beaucoup plus primaires, les Zoomorphes sont des êtres minéraux, mais leur progression semble inexorable, et l'agonie de l'espèce extraterrestre intelligente inévitable... J.-H. Rosny aîné (1856-1940) participa à la création de l'académie Goncourt dont il devint par la suite le président. On lui doit l'invention du roman préhistorique et les premiers chef-d'oeuvre de la science-fiction moderne, dans la lignée d'un H.G. Wells dont il anticipa parfois les thèmes.",9782820512505
Cyberpunk's not dead,Yannick Rumpala,"Surgi au cours des années 1980, le cyberpunk a marqué la science-fiction de son empreinte, donnant une contrepartie littéraire aux fulgurances esquissées au cinéma par l’iconique Blade Runner. Avec des œuvres majeures comme Neuromancien de William Gibson, tout un imaginaire s’est alors ouvert, révélant des anxiétés appelées à résonner durablement... Prolifération technologique, évasion dans des mondes virtuels, domination économique des multinationales, précarisation sociale, fragmentations culturelles en nouvelles tribalités : en quoi et comment ces visions peuvent-elles (encore) faire sens à quelques décennies de distance ? Yannick Rumpala, maître de conférences en science politique à l’université de Nice, explore ici les thématiques et projections installées par ce mouvement littéraire, la manière dont il s’est coulé dans une modernité déjà chancelante et a cultivé les germes des incertitudes futures de nos existences. Tel un laboratoire dont les expérimentations auraient malencontreusement débordé...",9782381630267
Histoire du futur,Robert Heinlein,"Nous pourrissons sur pied dans les fanges de Vénus, Nous vomissons nos tripes dans son souffle putride. Dans sa jungle inondée, oui, même son humus Grouille et pullule d'une vie qui nous glace et nous vide. Nous avons exploré l'espace et ses confins, Et jaugé la valeur de la moindre poussière. A présent regagnons le foyer des humains, Les fraîches et les vertes collines de la Terre. Prions pour réussir l'ultime atterrissage. Sur le beau globe bleu où nous sommes nés naguère. Puissent nos yeux revoir le ciel et les nuages Et les fraîches et vertes collines de la Terre. Immense classique de la littérature de science-fiction, le cycle Histoire du futur, dont les romans et les nouvelles dressent un panorama complet de l'avenir de l'humanité, figure parmi les plus grandes fresques du genre avec Fondation ou Les Seigneurs de l'Instrumentalité de Cordwainer Smith.",9782070317530
La petite déesse,Ian McDonald,"En 2004, Ian McDonald publiait en Angleterre un roman d’une ambition peu commune dans le paysage de la science-fiction contemporaine, Le fleuve des dieux, un livre aux multiples intrigues situées dans une Inde de 2047 balkanisée et soumise à une sécheresse sans précédent. Le prix de la British Science Fiction Association a récompensé ce roman et son édition française a reçu le Grand Prix de l’Imaginaire et le prix Bob Morane. En 2009, Ian McDonald a rassemblé, sous le titre La petite déesse, les sept nouvelles et courts romans qu’il avait écrits sur cette même Inde du futur. On y découvre, souvent par le biais du regard d’enfants, un sous-continent où les hommes sont quatre fois plus nombreux que les femmes, où se côtoient des gens d’une extrême pauvreté, des intelligences artificielles et des stars virtuelles, tous confrontés à des menaces d’un genre nouveau. La nouvelle éponyme a, elle aussi, été récompensée par le Grand Prix de l’Imaginaire, ""L’épouse du djinn"" ayant, elle, reçu le prestigieux prix Hugo.",9782072641800
Limbo (edition intégrale),Bernard Wolfe,"ATTENTION AU ROULEAU COMPRESSEUR ! LA SOCIETE, LA MACHINE, LA GUERRE.........SOYEZ PACIFISTES INTEGRAUX ! FAITES-VOUS COUPER LES MEMBRES ! Publié aux Etats-Unis en 1952, cet unique roman de son auteur, Bernard Wolfe, est l'une des plus puissantes fictions prophétiques du XXè siècle, à ranger à côté du Meilleur des mondes d'Aldous Huxley et de 1984 de Georges Orwell. C'est aussi un roman d'humour. Très noir. Un classique.",9782253192527
Journal of the elisha mitchell scientific society,"Elisha Mitchell Scientific Society (Chapel Hill, N.C.)","Vols. 20- include Proceedings of the North Carolina academy of science, 1902-",N/A
La faille,Corinne Guitteaud,"Qumran : Un jeune journaliste rencontre, à bord de la station spatiale Qumran, le dernier des Vénérables, qui souhaite transmettre à la Terre, tout juste sortie d’un effroyable conflit un ultime message de paix. Saving Charly : la suite et fin de « L’Astrogate », nouvelle parue dans le recueil La Vague. Charly et Howie seront-ils enfin réunis ? Les Brouteurs : D’étranges créatures, semblables à des nuages, viennent brouter la pollution de la Terre. Mais ceux qui semblent d’abord se présenter comme des sauveurs, pourraient bien conduire la vie sur la planète au bord de l’extinction. Traquées : deux survivantes de la race presque éteinte des Alaviliens tentent d’échapper à leurs persécuteurs et trouvent refuge à bord d’un vaisseau silhaire. Les Suzerains : découvrez le compte rendu d’un interrogatoire qui pourrait vous donner froid dans le dos. Que doit-on croire ? Les plus folles rumeurs peuvent donner naissance à un formidable espoir de liberté. La Faille : un dépit amoureux a donné naissance à un conflit galactique dont l’humanité ne sortira pas indemne. Les Valkyries sont lâchées. Tremblez, mortels ! Une octave de réalité : Julien Pinson, qui sera publié chez Voy’el en 2013, est l’auteur invité de ce recueil. Sa nouvelle traite de manière originale du paradoxe du chat de Schrödinger, à travers le récit d’une bataille époustouflante.",9782364751439
La guerre des mondes,Herbert George Wells,"Herbert George Wells est considéré comme le père de la science-fiction moderne. La guerre des mondes fut le premier roman à décrire des extraterrestres à l'identité propre, intelligents bien que totalement inhumains. C'est un récit passionnant, qui raconte le désarroi et la lutte désespérée des hommes face à un cataclysme qui semble tout droit sorti des enfers. Le combat qui oppose humains et martiens est relaté ici par une seule personne, sorte de correspondant de guerre témoin des étapes clés de l'invasion extraterrestre. Au-delà du récit de science-fiction, la Guerre des Mondes est également un roman politique. Certains textes semblent traverser le temps sans prendre une ride. La Guerre des Mondes est de ceux-là.",9798631573208
"Eon (cycle de l'hexamone, tome 1)","Greg Bear, Guy Abadia","Collection dirigée par Gérard Klein Le Caillou semble être un astéroïde entré par accident au début du xxie siècle dans notre système solaire. Mais lorsqu'il vient se placer en orbite autour de la Terre, les Russes et les Américains doivent se rendre à I'évidence. Il s'agit d'un vaisseau spatial interstellaire de trois cents kilomètres de long. Les sept chambres immenses qu'il recèle abritent des villes entières. Désertes. Mais pleines de merveilles technologiques et de bibliothèques contenant des livres d'histoire, rédigés dans toutes les langues de la Terre, qui décrivent un avenir terrifiant. Où sont passés les habitants du Caillou ? Où conduit la dernière chambre qui semble avoir une profondeur infinie ? La grande tradition de la science-fiction échevelée, émerveillée, sidérante.",9782253936404
Fantastic literature,David Sandner,"Unprecedented in range and scope, this volume serves as a record of and reference for the development of fantasy literature. Working to be inclusive, rather than exclusive, opening a dialogue wherever possible, Sandner presents the full range of debates concerning the fantastic and its relationship to the sublime, the Gothic, children's literature, romance and comedy, and the purposes of imaginative literature. Introductions to each essay, presented in full or excerpted for the most relevant commentary, situate the reader in the history of fantasy literature and the criticism it has inspired. New and important here are the claims for the early development of fantasy literature from the 18th century sublime. Previous histories of the genre regard Romanticism as a limit, but this reader draws from 18th, 19th, 20th, and even 21st century texts, revealing the unimagined scope of the field and developing a map of its early history for the first time. This important new volume presents, ultimately, the development of critical debates about the fantastic and its relationship to literature generally.",N/A
A la fin de l'hiver,Robert Silverberg,"La chute des comètes avait apporté le long hiver, comme, cent millions d'années plus tôt, lorsque les dinosaures avaient disparu. L'Hiver durait depuis soixante-dix mille ans. Le Peuple survivait à l'abri de son cocon souterrain, génération après génération. Et voilà que le Printemps, annoncé par la Tradition, était revenu. Le Peuple devait sortir et aller recueillir son héritage dans la glorieuse cité de Vengiboneeza. Mais, était-il encore humain ? Préface de Gérard Klein.",9782253193265
La sonate hydrogène,Iain-M Banks,"Les Gziltes - des humanoïdes proches de la Culture qui ont néanmoins choisi de ne pas y adhérer - ont pris la décision collective de suivre la voie empruntée par des millions d'autres civilisations avancées : la Sublimation. Quitter l'espace normal et rejoindre un niveau plus élevé dont on ne sait pas grand-chose, mais, où tout est possible, où la vie est davantage complexe et riche. Infiniment. Seulement, à quelques jours de la Sublimation, le Quartier Général Militaire des Gziltes est détruit. Peut-être parce qu'il détenait un secret susceptible d'entraver ce passage au stade supérieur. Vyr Cossont, assistée d'un androïde et d'un avatar de la Culture, est envoyée à travers la Galaxie pour remplir une mission impossible : retrouver la trace d'un homme qu'on dit vieux de dix mille ans et qui est censé connaître le secret des Gziltes. L'ultime volet éblouissant du cycle de la Culture.",9782253183501
A travers la mer des soleils,Gregory Benford,"Nigel Walmsley, entré en contact avec une intelligence étrangère (voir Dans l'océan de la nuit), fait partie de la première expédition interstellaire lancée par l'humanité à la recherche de l'intelligence. Car la Terre, ou plutôt ses océans, a été envahie par des formes de vie étrangères et hostiles, les Essaimeurs, et il lui faut trouver un remède. Auprès d'une autre civilisation s'il est possible. De la vie, il y en a partout, dans la Galaxie. Sous des formes étranges, comme celle des E.M., les électromagnétiques. Et aussi plus redoutables, ainsi les Machines Intelligentes qui pullulent et semblent n'avoir pas d'autre but que la destruction de la vie organique. Comme celle des humains... Après Dans l'océan de la nuit, voici le deuxième volume de l'épopée du Centre galactique. Lui font suite La Grande Rivière du ciel, Marées de lumière et Les Profondeurs furieuses, déjà publiés au Livre de Poche.",9782253172772
Asian cuisines,"E. N. Anderson, Paul D. Buell, Darra Goldstein","Sushi, kimchi, baklava, and tofu once seemed exotic. These Asian foods have made their way around the world. But how representative are they of their home cuisines? Asian Cuisines: Food Culture from East Asia to Turkey and Afghanistan covers the food history, food culture, and food science of the world’s largest and most diverse continent, not only East, Southeast, and South Asia, but also Central and West Asia, including the countries that straddle Asia and the Middle East. Contributors to Asian Cuisines include renowned scholars E. N. Anderson, Paul D. Buell, and Darra Goldstein. A glossary provides a quick overview of culinary terms specific to the cuisines. Chapters discuss local ingredients and dishes, and look at the connection between food and social, political, economic, and cultural developments. Each article comes with an easy-to-make recipe to give readers a taste of more than a dozen tantalizing and varied cuisines. This compact volume will be valuable in food studies programs and fills a unique spot on the shelf of anyone who loves to explore the meanings and flavors of world cuisines.",9781614728467
Mon livre de cuisine,Cuisine Edition,"Ce livre de cuisine est destiné aux cuisiniers débutants ou experts, afin de noter vos plus belles recettes. Ce livre de cuisine contient : Un sommaire pour noter vos plus belles recettes et les pages où elles se trouvent. Plus de de 100 pages couleur crèmes de qualité supérieur, où vous pouvez noter le nom de vos recettes, le temps de préparation ainsi que de cuisson, la température, la liste de vos ingrédients et bien d'autres informations pour ne rien oublier de vos succulente préparations Une reliure soignée. Une couverture sur le thème de la cuisine.",9798639999826
Pairing food and wine for dummies,John Szabo,"The easy way to learn to pair food with wine Knowing the best wine to serve with food can be a real challenge, and can make or break a meal. Pairing Food and Wine For Dummies helps you understand the principles behind matching wine and food. From European to Asian, fine dining to burgers and barbeque, you'll learn strategies for knowing just what wine to choose with anything you're having for dinner. Pairing Food and Wine For Dummies goes beyond offering a simple list of which wines to drink with which food. This helpful guide gives you access to the principles that enable you to make your own informed matches on the fly, whatever wine or food is on the table. Gives you expert insight at the fraction of a cost of those pricey food and wine pairing courses Helps you find the perfect match for tricky dishes, like curries and vegetarian food Offers tips on how to hold lively food and wine tasting parties If you're new to wine and want to get a handle on everything you need to expertly match food and wine, Pairing Food and Wine For Dummies has you covered.",9781118399576
The rainbow nation cookery guide,"Pumla Brook-Thomae, Brent Abrahams","A compiled collection of traditional South African recipes and stories as told by twelve chefs. Each chef representing their own ethnic cuisines including Zulu, Indian, Xhosa, Cape Malay, Afrikaans, San, Southern Sotho, English, Tsonga, Northern Sotho Pedi, Ndebele, and Swati dishes.",9780620887755
The globalization of asian cuisines,James Farrer,"This book provides a framework for understanding the global flows of cuisine both into and out of Asia and describes the development of transnational culinary fields connecting Asia to the broader world. Individual chapters provide historical and ethnographic accounts of the people, places, and activities involved in Asia's culinary globalization.",9781137514080
La nouvelle cuisine faite maison,Gordon Ramsay,"Gordon Ramsay a beau être le chef britannique aux 10 étoiles, il sait que les recettes simples et rapides font souvent les meilleurs plats. C’est la philosophie de son restaurant Bread Street Kitchen. Retrouvez plus de 100 recettes de saison adaptées du menu du restaurant le plus cool de la City de Londres. Réalisables en un tour de main, elles répondent à toutes les occasions. Dîner entre amis, plats uniques pour les soirs de la semaine, brunch du dimanche, petites faims ou menu à partager avec toute la famille... Les traditions culinaires du monde entier sont convoquées dans ce livre convivial qui donne envie de se régaler... comme à la maison.",9782011171795
Ancient indigenous cuisines,"Susan M Kooiman, Jodie A O'Gorman, Autumn M Painter","New essays from foodways archaeology related to cuisine in social, cultural, and environmental contexts This collection of original essays is the first to cover recent trends in foodways archaeology in the Midwest using the concept of cuisine: the selection of food ingredients and methods of food preparation, cooking, and serving/consumption in relation to their social, cultural, and environmental contexts. This work span the Early Archaic (9000 BC) to Late Precontact (up to around AD 1500) in ecological zones of present-day Michigan, Indiana, Illinois, Wisconsin, Minnesota, North Dakota, and Manitoba. Chapters trace development from hunter-gathering to horticultural practices to the more robust farming/fishing/hunting model centered on maize, squash, and other domesticates. As Susan M. Kooiman, Jodie A. O'Gorman, and Autumn M. Painter note, identification of past cooking habits and evolving methods for foodstuffs identification can help archaeologists to reconstruct foodways and connect food behaviors with identity and associated fundamental societal beliefs. Contributors to this collection use cutting-edge methods and perspectives and consider a range of questions and outcomes that demonstrate the versatility and strength of culinary studies. To move the field forward, contributors also note areas for further analysis and improvement. This volume targets archaeologists and students, archaeobotanists and zooarchaeologists, and those curious about Indigenous food culture. Engaging content includes chapters on the construction of earth ovens, the use-alteration of pottery and residue, a discussion of cuisine combining plant and animal data with ceramic trends, and the various contexts of plates to understand cooking methods and the social role of cuisine. Others examine faunal remains, the plant remains of feasting, the introduction of maize, the use of limestone nixtamalization, and archaeobotanical assemblages that reveal shifts in cuisine. A conclusion addresses the question, Why cuisine? CONTRIBUTORS Rebecca K. Albert / Alleen Betzenhauser / Jennifer R. Haas / Mary M. King / Susan M. Kooiman / Mary E. Malainey / Terrance J. Martin / Fernanda Neubauer / Kelsey Nordine / Jodie A. O'Gorman / Autumn M. Painter / Jeffrey M. Painter / Kimberly Schaefer / Mary Simon",9780817361822
The oxford companion to american food and drink,Andrew F. Smith,"Offering a panoramic view of the history and culture of food and drink in America with fascinating entries on everything from the smell of asparagus to the history of White Castle, and the origin of Bloody Marys to jambalaya, the Oxford Companion to American Food and Drink provides a concise, authoritative, and exuberant look at this modern American obsession. Ideal for the food scholar and food enthusiast alike, it is equally appetizing for anyone fascinated by Americana, capturing our culture and history through what we love most--food!Building on the highly praised and deliciously browseable two-volume compendium the Oxford Encyclopedia of Food and Drink in America, this new work serves up everything you could ever want to know about American consumables and their impact on popular culture and the culinary world. Within its pages for example, we learn that Lifesavers candy owes its success to the canny marketing idea of placing the original flavor, mint, next to cash registers at bars. Patrons who bought them to mask the smell of alcohol on their breath before heading home soon found they were just as tasty sober and the company began producing other flavors.Edited by Andrew Smith, a writer and lecturer on culinary history, the Companion serves up more than just trivia however, including hundreds of entries on fast food, celebrity chefs, fish, sandwiches, regional and ethnic cuisine, food science, and historical food traditions. It also dispels a few commonly held myths. Veganism, isn't simply the practice of a few ""hippies,"" but is in fact wide-spread among elite athletic circles. Many of the top competitors in the Ironman and Ultramarathon events go even further, avoiding all animal products by following a strictly vegan diet. Anyone hungering to know what our nation has been cooking and eating for the last three centuries should own the Oxford Companion to American Food and Drink. DT Nearly 1,000 articles on American food and drink, from the curious to the commonplace DT Beautifully illustrated with hundreds of historical photographs and color images DT Includes informative lists of food websites, museums, organizations, and festivals",9780195307962
Inde,Sandra Salmandjee,"Sandra Salmandjee, alias Sanjee, auteur du blog culinaire Bollywood Kitchen, vous invite à un voyage gourmand pour vous apprendre ses meilleures recettes indiennes. Découvrez une cuisine raffinée et pourtant si facile à préparer au quotidien. Plus de 60 recettes délicieuses, toutes les bases, des infos sur les ingrédients et ustensiles, les gestes incontournables, des astuces et des centaines de photos en pas à pas. Cuisiner indien, c’est easy !",9782317015915
The english of tourism,Georgeta Raţă,"The English of Tourism is a collection of essays on the English specific to the Tourism Industry. The approach is a linguistic one: the different aspects of the English used in the field of tourism (tourism industry, types of tourism, travel agencies, Internet sites of travel agencies, eco-tourism, travel) and in tourism-related fields (accommodation, advertising, entertainment, food services, hospitality, transportation) are analysed from a morphological (combination, derivation), syntactical (nominal phrases, verbal phrases), lexical and lexicographical, semantic (homonymy, semantic fields, synonymy, terminology), pragmatic (academic discourse, idiom, metaphor), etymological (etymon, Latin heritage), and contrastive (Croatian–Romanian, English–Croatian, English–Romanian, French–English, Romanian–English) points of view. This book will appeal to people employed in industries including hotels, transportation, events, food and beverage, parks and recreation, as well as to professors, researchers, students, and translators from Croatian-, English-, French-, and Romanian-speaking countries, active in their own countries or abroad. The types of academic readership it will appeal to include: academic teaching staff, researchers and students in the field of tourism, of tourism-related fields – accommodation, advertising, entertainment, food services, hospitality, and transportation – and of languages.",9781443844864
Cuisine du monde,"Cuisine et Vins de France,","Invitez les cinq continents à votre table ! De l'Australie à l'Espagne, du Vietnam au Liban, de la Pologne à l'Angleterre, découvrez la richesse du patrimoine culinaire mondial à travers une sélection de 100 recettes. De l'entrée jusqu'au dessert, ces plats vont faire voyager vos papilles grâce à une multitude de saveurs, parfois devenues familières - tagine marocain, salade grecque -, parfois plus inattendues - oie farcie à la katcha venue tout droit de Russie ou clafoutis aux mangues hawaïen. Emaillées de notices sur l'histoire et les bons produits de la cuisine du monde, ces recettes vont mettre votre cuisine à l'heure internationale.",9782848316468
En 2h je cuisine pas cher pour toute la semaine,Stéphanie De Turckheim,"Pour chaque semaine, retrouvez : Le panier avec des produits de saison La liste des courses et les menus de la semaine Le déroulé des préparations à réaliser en 2H Une cuisine zéro gaspi - 16 menus hebdomadaires complets, soit 80 repas équilibrés pour 50 € maximum pour 4 personnes - Des plats qui privilégient les produits frais et de saison - Une cuisine 0 Déchet où tout est consommé et les restes réutilisés",9782019455187
Cuisine bon marché,École de cuisine Alain Ducasse,"De vrais cours de cuisine à la maison sans vous ruiner ! L'École de Cuisine Alain Ducasse met son savoir-faire et son ""savoir transmettre"" au service de la cuisine du quotidien peu chère. Dans un contexte économique difficile, il est important de continuer à se faire plaisir en cuisinant et en mangeant... mais pas à n'importe quel prix ! Détaillées en pas à pas illustrés, ces recettes sont accessibles à tous les cuisiniers amateurs. Au-delà de l'initiation aux gestes de professionnels, apprenez à organiser vos courses, à cuisiner les restes, etc. pour réduire la facture !",9782841235452
Cuisine du monde inratable,Collectif,"Vous voulez voyager sans quitter le confort de votre canapé ? Vous vous demandez comment réveiller vos papilles ? Bref, vous avez envie de découvertes, d’un peu d’originalité et d’exotisme ? C’est en fait très simple, et nous allons vous le prouver ! Pas plus de 6 ingrédients pour limiter les courses Plus de 75 recettes inratables et ultra-rapides à réaliser !",9782035955982
Ma cuisine - mon carnet de recettes,Ma cuisine confidentielle Collection Huber N.,"★Livres grands caractères adaptés aux personnes malvoyantes et aux personnes âgées ★Vous êtes cuisinier(e) en herbe ou passionné(e) de cuisine, vous aimez ajouter votre touche personnelle dont vous seul(e) avez le secret, ce livre de cuisine à remplir vous permettra de conserver précieusement vos recettes, vos astuces, vos secrets de cuisines légués au fil des générations ou au hasard de vos propres découvertes culinaires ! Vous pourrez même offrir ce livre comme un précieux cadeau à vos proches mais chuttt ! c'est un secret... ★Spécifications: ★Un index de 250 recettes pré-rempli avec le numéro correspondant a la fiche recette et type de recette (exemple: Entrées/Dessert/Plat, etc). ★Carnet de 513 pages (2 pages par recettes) ★Dimension du carnet: 17,78 x 25,40 cm / 7x10 pouces ★250 Fiches recettes a remplir et numérotées avec: ★La liste des ingrédients ★Matériel a utiliser ★La préparation ★Nombre de part ★Temps de cuisson ★Temps de réalisation ★Température du four ★Difficulté (évaluation) ★★★Cliquez sur le nom d'auteur en Haut ""Ma cuisine confidentielle Collection Huber N."" pour découvrir nos autre créations★★★",9798669091309
Ma cuisine - mon carnet de recettes,Ma cuisine confidentielle Collection Huber N.,"★Vous êtes cuisinier(e) en herbe ou passionné(e) de cuisine, vous aimez ajouter votre touche personnelle dont vous seul(e) avez le secret, ce livre de cuisine à remplir vous permettra de conserver précieusement vos recettes, vos astuces, vos secrets de cuisines légués au fil des générations ou au hasard de vos propres découvertes culinaires ! Vous pourrez même offrir ce livre comme un précieux cadeau à vos proches mais chuttt ! c'est un secret...★Spécifications:★Un index de 250 recettes pré-rempli avec le numéro correspondant a la fiche recette et type de recette (exemple: Entrées/Dessert/Plat, etc).★Carnet de 513 pages (2 pages par recettes)★Dimension du carnet: 17,78 x 25,40 cm / 7x10 pouces★250 Fiches recettes a remplir et numérotées avec:★La liste des ingrédients★Matériel a utiliser★La préparation★Nombre de part★Temps de cuisson★Temps de réalisation★Température du four★Difficulté (évaluation)★★★Cliquez sur le nom d'auteur en Haut ""Ma cuisine confidentielle Collection Huber N."" pour découvrir nos autre creations★★★",9798663197243
200 snacks santé et gourmands,"Cuisine de l'Apéritif, Jade Levevre","Découvrez l'art secret de préparer des snacks et des hors-d'oeuvre si délicieux que vos invités croiront que vous avez conclu un pacte secret avec un chef étoilé ! Nos recettes vous apprendront à concocter les bouchées les plus savoureuses et les plus célèbres - parfaites pour les gourmets et ceux qui aspirent à le devenir. Quelles sont les ingrédients les plus importants dans votre cuisine ? Tout ce que vous aimez manger ! Et bien sûr, ce livre. Oubliez les conseils gastronomiques compliqués - nous avons créé des instructions étape par étape si précises que même votre chat pourrait les suivre (même si nous vous recommandons de le tenir éloigné de la cuisine). Pas de panique devant les catastrophes culinaires ! Avec nos recettes, même le plus grand novice en cuisine deviendra un champion des snacks. Et le meilleur dans tout ça: nos instructions sont tellement flexibles que vous pouvez les adapter facilement à vos goûts personnels. Oui, vous pouvez même ajouter l'ingrédient secret de grand-mère sans que nous le sachions ! Dans nos livres de cuisine, vous trouverez un mélange coloré de classiques traditionnels et de délices modernes. Pas d'ingrédients exotiques au supermarché ? Pas de problème ! Nous avons des alternatives astucieuses qui sont tout aussi savoureuses, mais qui n'épuiseront ni votre patience ni votre budget. Alors, attrapez un tablier et une cuillère - et plongez dans le monde merveilleux des hors-d'oeuvre et des snacks. Qui sait, votre prochaine soirée cuisine pourrait se terminer par des applaudissements et des ovations debout !",9798328803939
Cuisine mon livre de recettes | 60 fiches,Tous dans la Cuisine,"Ce livre de recettes à remplir est le cadeau parfait pour tous les amoureux de la cuisine et chef(fe)s en herbe ! Avec ses 129 pages, ce carnet de recettes comprend un index de recettes, 5 pages de notes, 60 fiches recettes numérotées nom de rcette - type de plat - nombre de parts temps de préparation - temps de cuisson note / niveau de difficulté / budget liste d'ingrédients instructions Format : 21,59 X 27,94 cm | 129 pages | couverture souple",9781673989441
Ma pâtisserie healthy,Hervé Cuisine,"Saviez-vous qu’il était possible de réaliser de délicieux brownies avec de la patate douce et des haricots rouges ? Que la courgette remplace subtilement le beurre dans un gâteau au chocolat ? Que l’on peut préparer un clafoutis aux cerises 100 % végétal et des moelleux aux abricots à base de pois chiches ? À travers 60 recettes plébiscitées par ses fans ou totalement inédites, Hervé Cuisine nous apprend à utiliser des aliments souvent méconnus ou boudés des pâtissiers : légumes, laits et jus végétaux, sucres non raffinés, purées et pâtes de fruits... Au programme : des classiques végétalisés, des gâteaux ultra gourmands à base de légumes, des desserts et gâteaux pauvres en matières grasses et sucres, des en-cas veggies riches en protéines, des desserts crus et sans cuisson, ainsi que des aides culinaires.",9782226464095
Leçons de cuisine - cuisine asiatique,Collectif,"80 recettes pour un tour d'Asie en cuisine ! 80 recettes pour un tour d'Asie en cuisine ! Leçons de cuisine - Cuisine d'Asie, ce sont : • 10 techniques de base illustrées étape par étape pour devenir un pro de la cuisine asiatique : plier les nems, découper le poisson pour réaliser sushis et sashimis, cuire le riz gluant... • 80 recettes gourmandes et faciles, des astuces et variantes : boulettes de porc vapeur, riz sauté aux légumes croquants, boulettes de poisson au bouillon de gingembre, pad thaï... Toutes ces recettes ont été testées et photographiées pour vous. Redécouvrez la fraîcheur et la gourmandise de la cuisine asiatique !",9782754073981
